Country;City;Km (section);Km (cuml.);Connection
CZ;Jihlava;126;1803;E65, E59
CZ;Brno;90;1894;E65, E461, E462
SK;Trencin;135;2029;E572
SK;PreÅ¡ov;299;2327;E371
SK;KoÅ¡ice;35;2363;E71, E571
SK;VyÅ¡nÃ© NemeckÃ©;89;2451;Â 
UA;UÅŸgorod;6;2457;E573
UA;MukaÄevo;41;2498;E471
Country;City;Km (section);Km (cuml.);Connection
F;Courtenay;0;0;E60
F;Troyes;133;133; 
Country;City;Km (section);Km (cuml.);Connection
F;Remiremont;0;0; 
F;Mulhouse;77;77;E25, E60, E54
Country;City;Km (section);Km (cuml.);Connection
D;Berlin;0;0;E55, E30, E26, E28, E36, E251
D;Leipzig;191;191; 
D;Gera;68;259;E40
D;Hirschberg;66;324; 
D;Hof;14;339; 
D;Bayreuth;54;393;E48
D;Nürnberg;87;479;E45, E50, E56
Country;City;Km (section);Km (cuml.);Connection
F;Strasbourg;0;0;E25
D;Appenweier;22;22; 
D;Karlsruhe;69;91;E35
D;Stuttgart;80;171;E41
D;Ulm;91;262;E43
D;München;143;405;E45, E53, E54, E533, E552
A;Salzburg;149;554;E55, E60, E641
Country;City;Km (section);Km (cuml.);Connection
D;Offenburg;0;0;E35
D;Donaueschingen;96;96; 
Country;City;Km (section);Km (cuml.);Connection
D;Memmingen;0;0; 
D;Füssen;71;71; 
Country;City;Km (section);Km (cuml.);Connection
D;München;0;0;E45, E53, E52, E54, E552
D;Garmisch-Partenkirchen;89;89; 
D;Mittenwald;18;107; 
A;Seefeld in Tirol;15;122; 
A;Innsbruck;23;144;E45, E60
Country;City;Km (section);Km (cuml.);Connection
CZ;PlzeÅ;0;0;E50, E49
